,open,high,low,close,adjclose,volume,ticker,diff_adjclose,isUp_adjclose,%adjclose,%high,%low,sma_2_adjclose,sma_2_high,sma_2_low,sma_3_high,sma_3_low,ema_2_adjclose,volatility_10_adjclose
2015-11-19,11.199999809265137,14.779999732971191,9.0,13.069999694824219,13.069999694824219,47466100,SQ,False,0,,,,,,,,,,
2015-11-20,13.920000076293945,14.050000190734863,12.5,12.850000381469727,12.850000381469727,16550300,SQ,False,0,-0.016832388560928058,-0.049391038932690035,0.38888888888888884,12.960000038146973,14.414999961853027,10.75,,,12.960000038146973,
2015-11-23,13.0,13.149999618530273,12.100000381469727,12.119999885559082,12.119999885559082,5172200,SQ,False,0,-0.05680937542720521,-0.06405697935848331,-0.0319999694824219,12.485000133514404,13.599999904632568,12.300000190734863,13.993333180745443,11.200000127156576,12.485000133514404,
2015-11-24,12.0,12.229999542236328,11.520000457763672,12.020000457763672,12.020000457763672,4714700,SQ,False,0,-0.008250777948814902,-0.06996198501766726,-0.047933876481052184,12.070000171661377,12.6899995803833,11.8100004196167,13.143333117167154,12.040000279744467,12.070000171661377,
2015-11-25,12.119999885559082,12.399999618530273,11.850000381469727,11.899999618530273,11.899999618530273,3583400,SQ,False,0,-0.009983430504438173,0.013900252056989082,0.0286458255723121,11.960000038146973,12.3149995803833,11.6850004196167,12.593332926432291,11.823333740234375,11.960000038146973,
2015-11-27,12.050000190734863,12.3100004196167,11.899999618530273,12.050000190734863,12.050000190734863,942300,SQ,True,1,0.012605090505298344,-0.007258000135667908,0.004219344763797039,11.974999904632568,12.355000019073486,11.875,12.3133331934611,11.756666819254557,11.974999904632568,
2015-11-30,12.279999732971191,12.350000381469727,11.899999618530273,12.039999961853027,12.039999961853027,1997100,SQ,False,0,-0.0008298944998793578,0.0032493875296124575,0.0,12.045000076293945,12.330000400543213,11.899999618530273,12.353333473205566,11.883333206176758,12.045000076293945,
2015-12-01,12.119999885559082,12.180000305175781,11.890000343322754,11.90999984741211,11.90999984741211,1256100,SQ,False,0,-0.010797351731960503,-0.013765187938699852,-0.0008402752544587333,11.974999904632568,12.265000343322754,11.894999980926514,12.280000368754068,11.896666526794434,11.974999904632568,
2015-12-02,11.970000267028809,12.154999732971191,11.899999618530273,11.930000305175781,11.930000305175781,1708100,SQ,True,1,0.0016792995818566414,-0.002052592083595095,0.0008409819107477734,11.920000076293945,12.167500019073486,11.894999980926514,12.228333473205566,11.896666526794434,11.920000076293945,
2015-12-03,12.039999961853027,12.25,11.90999984741211,11.920000076293945,11.920000076293945,1431400,SQ,False,0,-0.000838242131267819,0.007815735838406779,0.0008403553951601417,11.925000190734863,12.202499866485596,11.904999732971191,12.195000012715658,11.899999936421713,11.925000190734863,1.3283615217487743
2015-12-04,11.949999809265137,12.039999961853027,11.800000190734863,12.039999961853027,12.039999961853027,1331600,SQ,True,1,0.010067104428777007,-0.01714286025689571,-0.0092359074799776,11.980000019073486,12.144999980926514,11.855000019073486,12.148333231608072,11.869999885559082,11.980000019073486,0.8891697713318407
2015-12-07,12.140000343322754,12.600000381469727,12.100000381469727,12.359999656677246,12.359999656677246,2660400,SQ,True,1,0.02657804782708406,0.046511662906227436,0.02542374456658214,12.199999809265137,12.320000171661377,11.950000286102295,12.296666781107584,11.9366668065389,12.199999809265137,0.4360043420573943
2015-12-08,12.359999656677246,12.4399995803833,12.029999732971191,12.119999885559082,12.119999885559082,1047700,SQ,False,0,-0.019417457749564604,-0.012698475892249372,-0.0057851773794764805,12.239999771118164,12.519999980926514,12.065000057220459,12.359999974568685,11.976666768391928,12.239999771118164,0.4360043420573943
2015-12-09,12.0,12.239999771118164,11.899999618530273,11.989999771118164,11.989999771118164,1075700,SQ,False,0,-0.010726082150859795,-0.016077155627924444,-0.010806327292312456,12.054999828338623,12.339999675750732,11.964999675750732,12.426666577657064,12.009999910990397,12.054999828338623,0.43772115604848005
